Name, Amount, Price, Source
PCB, 1 (5), 33.74, https://jlcpcb.com
Keycaps, 1, 24.99, https://www.amazon.com/dp/B0DBPKP52D
Gateron Red Keyswitches, 1, 34.99, https://www.amazon.com/gp/product/B07CVQ7ZRL
Gateron Clear Stabilizers, 1, 11.99, https://www.amazon.com/dp/B0BV2CKDJW
Diodes, 85 (100), 6.99, https://www.amazon.com/dp/B079KJ91JZ
11''x14'' Acrylic, 1 (2), 11.99, https://www.amazon.com/dp/B0CQYPRG4F
SK6812MINI-E LEDs, 61 (65), 3.84, https://lcsc.com/product-detail/RGB-LEDs-Built-in-IC_OPSCO-Optoelectronics-SK6812MINI-E_C5149201.html
PCA9555D, 1, 1.75, https://lcsc.com/product-detail/I-O-Expanders_NXP-PCA9555DB-118_C133183.html
X6511FRS-05-C85D30, 14 (15), 2.46, https://lcsc.com/product-detail/Female-Headers_XKB-Connection-X6511FRS-05-C85D30_C5142238.html
18ga Steel Plate, 1, 0, PRICE Industries
Orpheus Pico, 1, 0, Me
OLED, 1, 0, Old Hackpad Kit
EC11 Rotary Encoder, 1, 0, Old Hackpad Kit
M2.5 10mm Standoffs, 12, 0, Me
M2.5 3mm Screw, 12, 0, Me
4.7K THT Resistor, 2, 0, Me
Shipping, N/A, 11.26, LCSC
Total:, 86, , 
